 30060  06 20 38.2 +59 00 20  4.44  0.032   A2Vs        
 30122  06 20 45.3 -30 04 09  3.02 -0.160   B2.5V       
 30277  06 22 32.1 -33 26 34  3.85  0.858   G7II        
 30324  06 23 12.4 -17 57 44  1.98 -0.240   B1II/III    
 30343  06 23 39.4 +22 30 24  2.87  1.621   M3IIIvar    
 30419  06 24 22.7 +04 35 10  4.39  0.215   A5IV        
 30438  06 24 12.4 -52 42 08 -0.62  0.164   F0Ib        
 30788  06 28 35.8 -32 35 16  4.47 -0.169   B4V         
 30867  06 29 22.5 -07 02 28  3.76 -0.113 G B3Ve        
 30883  06 29 38.8 +20 12 14  4.13 -0.115   B6III       
 31125  06 32 20.1 -23 25 38  4.34 -0.245   B1III       
 31216  06 33 31.5 +07 19 25  4.47  0.023   A0Ib        
 31407  06 35 13.8 -52 59 07  4.35 -0.021   B9III       
 31592  06 37 11.2 -19 15 59  3.95  1.037   K1III+      
 31681  06 38 22.5 +16 23 18  1.93  0.001 D A0IV        
 31685  06 38 06.8 -43 12 23  3.17 -0.103   B8III SB    
 31700  06 38 23.8 -18 14 53  4.42  1.137   K0II/III    
 32246  06 44 38.4 +25 07 08  3.06  1.377   A3mA6-A9    
 32249  06 44 38.2 +13 12 56  4.49  1.167   K1III       
 32349  06 45 39.3 -16 43 57 -1.44  0.009 X A0m         
 32362  06 45 56.1 +12 52 56  3.35  0.443   F5IV        
 32578  06 48 27.6 +02 23 56  4.48  1.099   K0III       
 32607  06 48 18.5 -61 57 14  3.24  0.225   A7IV        
 32759  06 50 16.3 -32 31 20  3.50 -0.116   B1.5IVne    
 32761  06 50 06.3 -53 38 10  4.41  0.899   G6II        
 32768  06 50 13.3 -50 37 43  2.94  1.207   K0III       
 33018  06 53 32.8 +33 56 47  3.60  0.102   A3III       
 33152  06 54 36.6 -24 11 57  3.89  1.740   K3Iab       
 33160  06 54 43.5 -12 03 13  4.08  1.418   K4III       
 33347  06 56 39.0 -17 04 11  4.36 -0.063   B3Ib/II     
 33449  06 58 16.2 +58 24 23  4.35  0.850   G5III-IV    
 33579  06 59 04.7 -28 59 18  1.50 -0.211   B2II        
 33856  07 02 10.7 -27 57 07  3.49  1.729   K4III       
 33977  07 03 30.3 -23 51 03  3.02 -0.077   B3Ia        
 34045  07 04 16.7 -15 39 04  4.11 -0.112   B8II        
 34088  07 04 47.4 +20 33 09  4.01  0.899   G3Ibv SB    
 34444  07 08 51.6 -26 24 43  1.83  0.671   F8Ia        
 34481  07 08 38.8 -70 31 03  3.78  1.006   G8IIIvar    
 34693  07 11 52.2 +30 13 31  4.41  1.261   K2III       
 34769  07 12 27.1 -00 30 45  4.15 -0.005   A2V         
 34834  07 12 53.3 -46 46 44  4.49  0.324   F0IV        
 34922  07 13 53.4 -44 39 32  4.42  1.331 P M5e         
 34981  07 14 43.4 -26 22 23  4.42 -0.170   B3III       
 35037  07 15 16.7 -26 47 36  4.01 -0.150 P B2IV/Ve     
 35228  07 16 49.3 -67 58 41  3.97  0.760   F6II        
 35264  07 17 32.9 -37 07 07  2.71  1.616 P K3Ib        
 35350  07 18 45.2 +16 31 08  3.58  0.106   A3V         
 35415  07 19 11.1 -24 58 34  4.37 -0.132 P O9Ib        
 35550  07 20 48.5 +21 57 37  3.50  0.374 D F0IV        
 35904  07 24 33.0 -29 19 34  2.45 -0.083   B5Ia        
 36046  07 26 26.4 +27 46 28  3.78  1.024   G9III+      
 36188  07 27 46.4 +08 15 55  2.89 -0.097   B8Vvar      
 36284  07 28 47.3 +08 54 05  4.33  1.425   K3III SB    
 36366  07 29 51.0 +31 45 39  4.16  0.320   F0V         
 36377  07 29 35.7 -43 19 31  3.25  1.509   K5III SB    
 36795  07 34 32.7 -22 19 17  4.44  0.521   F6V         
 36850  07 35 19.8 +31 51 43  1.58  0.034   A2Vm        
 36962  07 36 37.8 +26 52 09  4.06  1.540   K5III       
 37229  07 39 18.2 -26 49 50  3.80 -0.159   B5IV        
 37279  07 39 54.2 +05 11 41  0.40  0.432 D F5IV-V      
 37447  07 41 47.8 -09 34 43  3.94  1.022   K0III       
 37504  07 41 40.4 -72 38 01  3.93  1.033   K0III       
 37629  07 44 01.8 +28 51 17  4.23  1.118   K1III SB    
 37677  07 44 16.2 -28 58 58  3.94  0.160   A2Iab       
 37740  07 45 08.4 +24 22 10  3.57  0.932   G8III       
 37819  07 45 39.9 -37 59 49  3.62  1.706   K4III       
 37826  07 46 01.1 +27 59 51  1.16  0.991   K0IIIvar    
 38070  07 48 33.9 -25 57 59  4.40 -0.070   B1IV:nne    
 38164  07 49 35.3 -46 24 09  4.10 -0.160   B0III       
 38170  07 49 46.7 -24 53 21  3.34  1.218   G6Ia        
 38414  07 52 36.8 -40 36 21  3.71  1.012 D G5III       
 38455  07 53 03.1 -38 53 35  4.49 -0.188   B2V         
 38518  07 53 38.4 -48 08 00  4.22 -0.130   B0.5Ib      
 38827  07 57 04.2 -53 00 49  3.46 -0.177   B3IVp       
 38835  07 57 21.2 -22 54 41  4.20  0.718   F7/F8II     
 38957  07 58 34.3 -49 16 35  4.47 -0.180   B1Vp + B2   
 39311  08 02 51.8 +02 18 08  4.39  1.252   K2III       
 39429  08 03 59.3 -40 02 10  2.21 -0.269   O5IAf       
 39757  08 08 02.0 -24 20 17  2.83  0.458 P F2mF5IIp    
 39794  08 07 57.8 -68 39 03  4.35 -0.113   B6IV        
 39863  08 09 10.3 -03 01 05  4.36  0.970   G2Ib        
 39906  08 09 32.5 -19 16 45  4.40 -0.160   B5V         
 39953  08 09 53.2 -47 22 15  1.75 -0.145   WC8 + O9I   
 40091  08 11 46.2 -39 39 12  4.44  1.590   K4III       
 40326  08 14 27.4 -40 23 01  4.42  1.170   K1II/III    
 40526  08 17 08.3 +09 08 58  3.53  1.481   K4III       
 40702  08 18 12.8 -76 57 21  4.05  0.413   F5III       
 40706  08 18 59.2 -36 41 43  4.44  0.222   A4m         
 40888  08 20 16.7 -77 31 16  4.34  1.161   K0III-IV    
 41037  08 22 44.9 -59 32 48  1.86  1.196 P K3III+B2V   
 41075  08 23 37.1 +43 09 01  4.25  1.550   K5III       
 41307  08 26 14.1 -03 56 40  3.91 -0.012   A0V         
 41312  08 25 51.5 -66 10 31  3.77  1.132   K2IIIvar    
 41704  08 31 12.7 +60 40 43  3.35  0.856   G4II-III    
 42312  08 38 02.9 -43 01 47  4.11  0.109   A6II        
 42313  08 38 15.9 +05 39 47  4.14  0.003   A1Vnn       
 42402  08 39 21.5 +03 18 02  4.45  1.216   K2III       
 42515  08 40 33.2 -35 20 59  3.97  0.936   G5II/III    
 42536  08 40 37.4 -52 57 47  3.60 -0.168   B3IV        
 42568  08 40 52.2 -59 48 08  4.31 -0.117 P B1.5III     
 42570  08 41 00.5 -46 41 24  3.77  0.670   F3Ia        
 42799  08 43 49.5 +03 21 24  4.30 -0.192   B3V         
 42828  08 44 03.3 -33 13 42  3.68 -0.180   B1.5III     
 42884  08 44 48.6 -42 41 29  4.05  0.874   G5III       
 42911  08 45 20.2 +18 06 41  3.94  1.083   K0III       
 42913  08 45 01.3 -54 45 05  1.93  0.043   A1V         
 43023  08 46 25.1 -46 05 02  3.87  0.015   A1III       
 43067  08 46 55.1 -13 35 25  4.32  0.900   G8III       
 43103  08 47 23.4 +28 43 02  4.03  1.007   G8Iab:      
 43105  08 47 00.4 -56 48 44  4.50 -0.169   B3Vne       
 43109  08 47 23.0 +06 22 34  3.38  0.685 W G0III-IV    
 43234  08 49 02.5 +05 47 41  4.35 -0.044   A0Vn        
 43409  08 51 01.2 -27 45 11  4.02  1.272   K3III       
 43783  08 55 18.4 -60 41 20  3.84 -0.104   B8III       
 43813  08 56 00.1 +05 54 04  3.11  0.978   G8III-IV    
 44066  08 59 06.9 +11 48 45  4.26  0.141   A5m         
 44127  08 59 59.4 +47 59 45  3.12  0.223   A7IV        
 44191  09 00 31.2 -41 17 56  4.45  0.646   Fp          
 44248  09 01 22.9 +41 44 12  3.96  0.463   F5V         
 44382  09 02 37.5 -66 26 32  4.00  0.145   Am          
 44471  09 04 24.3 +47 06 37  3.57  0.007   A1Vn        
 44511  09 04 33.1 -47 08 38  3.75  1.174   K2III       
 44599  09 05 10.2 -72 38 56  4.47  0.607   F6II-III    
 44816  09 08 25.2 -43 28 46  2.23  1.665   K4Ib-II     
 44901  09 09 40.6 +51 33 27  4.46  0.288   Am          
 45080  09 11 16.2 -59 00 51  3.43 -0.190   B2IV        
 45101  09 11 32.3 -62 21 52  3.96 -0.180   B3IV        
 45238  09 13 19.3 -69 45 53  1.67  0.070   A2IV        
 45336  09 14 57.7 +02 15 55  3.89 -0.060   B9.5V       
 45496  09 16 31.6 -57 35 24  4.34  1.602   M1III       
 45556  09 17 23.9 -59 19 25  2.21  0.189   A8Ib        
 45688  09 19 33.4 +36 45 12  3.82  0.066   A1V         
 45860  09 21 45.2 +34 20 36  3.14  1.550   M0IIIvar    
 45941  09 22 28.2 -55 03 36  2.47 -0.141   B2IV        
 46146  09 25 19.3 +26 07 56  4.47  1.222   K2III       
 46390  09 28 09.1 -08 42 32  1.99  1.440   K3III       
 46651  09 31 09.3 -40 31 03  3.60  0.371 W F2IV        
 46701  09 31 34.3 -57 05 07  3.16  1.538   K5III       
 46733  09 32 25.4 +63 00 39  3.65  0.360   F0IV        
 46750  09 32 22.5 +22 55 00  4.32  1.541   K5IIIvar    
 46853  09 33 37.2 +51 37 27  3.17  0.475   F6IV        
 46974  09 34 46.7 -59 16 53  4.08 -0.013   B5II        
 47006  09 35 36.3 +51 59 59  4.47  0.027   A2V         
 47175  09 37 14.3 -49 24 25  4.34  0.173   A5V         
 47193  09 38 38.9 +81 16 27  4.28  1.488   K3III       
 47431  09 40 26.6 -01 11 44  3.90  1.313   K3IIIvar    
 47508  09 41 45.8 +09 50 22  3.52  0.516   A5V+        
 47854  09 45 33.8 -62 33 40  3.69  1.010   G5Iab/Ib    
 47908  09 46 30.1 +23 43 15  2.97  0.808   G0II        
 48002  09 47 23.3 -65 07 32  2.92  0.273   A9          
 48319  09 51 47.9 +58 59 03  3.78  0.291 P F0IV        
 48356  09 52 01.9 -14 54 03  4.11  0.918   G6/G8III    
 48455  09 53 24.9 +25 57 08  3.88  1.222   K0III       
 48774  09 57 16.0 -54 37 22  3.52 -0.067   B5Ib        
 49583  10 07 57.5 +16 42 22  3.48 -0.031   A0Ib        
 49593  10 08 06.3 +35 11 18  4.49  0.190   A7V         
 49637  10 08 30.8 +09 56 27  4.39  1.448   K4III       
 49641  10 08 31.6 -00 25 42  4.48 -0.032   A0III       
 49669  10 08 59.0 +11 54 38  1.36 -0.087   B7V         
 49841  10 11 08.9 -12 24 41  3.61  1.007   K0III       
 50099  10 14 00.6 -70 05 43  3.29 -0.074   B8III       
 50191  10 15 13.2 -42 10 45  3.85  0.051   A2V         
 50335  10 17 19.7 +23 21 35  3.43  0.307   F0III       
 50371  10 17 28.1 -61 23 24  3.39  1.541   K3II        
 50372  10 17 47.1 +42 51 23  3.45  0.029   A2IV        
 50583  10 20 36.3 +19 46 59  2.01  1.128 W K0III       
 50676  10 21 20.6 -56 06 05  4.50 -0.102 P B3III       
 50801  10 23 00.6 +41 26 29  3.06  1.603 Y M0III SB    
 50954  10 24 37.3 -74 05 25  3.99  0.369   F2IV        
 51069  10 26 38.8 -16 53 43  3.83  1.456   K4III       
 51172  10 27 40.7 -31 07 36  4.28  1.429   K4III       
 51232  10 28 18.2 -58 47 54  3.81  0.317   F2II        
 51233  10 28 32.7 +36 38 52  4.20  0.908   G8III-IV    
 51576  10 32 26.1 -61 44 41  3.30 -0.089 P B4Vne       
