 -3   23 20  23 32  23 41  23 49  23 56  ** **  ** **  ** **  ** **  ** **  ** **  ** **  ** **   0  2   0  2   0  4   0  6   0  8   0 10   0 12   0 14   0 17   0 20   0 23   0 27   0 32   0 36   0 42
 44   16 34  16  2  15 39  15 20  15  4  14 51  14 27  14  7  13 49  13 30  13 10  12 47  12 33  12 17  12 17  12 10  12  3  11 54  11 45  11 35  11 24  11 12  10 57  10 40  10 19   9 53   9 15   7 50
 45   17 20  16 51  16 30  16 12  15 57  15 44  15 22  15  3  14 45  14 28  14  8  13 46  13 33  13 18  13 18  13 12  13  4  12 57  12 48  12 38  12 28  12 16  12  2  11 46  11 27  11  3  10 30   9 35
 46   17 55  17 32  17 13  16 58  16 46  16 34  16 15  15 59  15 43  15 27  15 10  14 51  14 40  14 27  14 27  14 21  14 15  14  8  14  0  13 52  13 43  13 33  13 22  13  8  12 53  12 34  12 11  11 39
 47   18 22  18  4  17 50  17 39  17 29  17 20  17  5  16 52  16 40  16 28  16 14  15 59  15 50  15 40  15 40  15 35  15 31  15 25  15 20  15 13  15  7  14 59  14 50  14 41  14 30  14 17  14  1  13 42
 48   18 43  18 32  18 23  18 15  18  9  18  3  17 53  17 44  17 36  17 27  17 18  17  8  17  2  16 56  16 56  16 53  16 49  16 46  16 42  16 38  16 34  16 29  16 23  16 17  16 10  16  3  15 53  15 42
 49   19  1  18 56  18 52  18 48  18 45  18 42  18 38  18 34  18 30  18 26  18 22  18 18  18 15  18 12  18 12  18 10  18  9  18  8  18  6  18  4  18  2  18  0  17 58  17 55  17 52  17 49  17 45  17 40
 50   19 17  19 18  19 19  19 20  19 20  19 21  19 22  19 23  19 24  19 24  19 25  19 27  19 27  19 28  19 28  19 28  19 29  19 29  19 29  19 30  19 30  19 31  19 32  19 32  19 33  19 34  19 35  19 36
 51   19 34  19 41  19 47  19 52  19 56  19 59  20  6  20 12  20 17  20 22  20 28  20 35  20 39  20 44  20 44  20 46  20 48  20 50  20 53  20 55  20 58  21  1  21  5  21  9  21 14  21 19  21 25  21 32
 52   19 53  20  6  20 16  20 25  20 33  20 39  20 51  21  1  21 11  21 21  21 31  21 44  21 51  21 59  21 59  22  2  22  6  22 10  22 15  22 20  22 25  22 31  22 38  22 45  22 54  23  4  23 15  23 29
 53   20 15  20 34  20 49  21  2  21 13  21 22  21 38  21 53  22  6  22 20  22 34  22 51  23  1  23 12  23 12  23 17  23 23  23 29  23 35  23 42  23 50  23 58  ** **  ** **  ** **  ** **  ** **  ** **
 54   20 44  21  9  21 28  21 43  21 57  22  8  22 28  22 46  23  2  23 19  23 36  23 57  ** **  ** **  ** **  ** **  ** **  ** **  ** **  ** **  ** **  ** **   0  8   0 19   0 32   0 47   1  5   1 29
 55   21 22  21 51  22 13  22 31  22 46  22 59  23 21  23 40  23 59  ** **  ** **  ** **   0  9   0 23   0 23   0 29   0 36   0 43   0 51   0 59   1  9   1 20   1 33   1 47   2  4   2 25   2 52   3 32
 56   22 11  22 42  23  5  23 24  23 39  23 53  ** **  ** **  ** **   0 17   0 36   0 59   1 12   1 28   1 28   1 35   1 42   1 50   1 59   2  9   2 20   2 32   2 47   3  4   3 24   3 50   4 26   5 39
 57   23 12  23 41  ** **  ** **  ** **  ** **   0 16   0 36   0 55   1 13   1 33   1 56   2 10   2 26   2 26   2 33   2 40   2 49   2 58   3  8   3 19   3 32   3 46   4  4   4 25   4 51   5 29  ** **
 58   ** **  ** **   0  4   0 21   0 36   0 49   1 12   1 31   1 49   2  7   2 26   2 48   3  1   3 16   3 16   3 22   3 30   3 37   3 46   3 55   4  6   4 17   4 31   4 46   5  5   5 28   5 59   6 46
