 21281  04 34 40.88 -54 58 51.0  3.30 -0.079 P A0V:         alpha      Dor    58.06    12.73   18.56
 21393  04 36 46.61 -30 29 59.0  3.81  0.957   G8III        upsilon^2  Eri   -48.92   -12.75   15.62
 21402  04 37 23.29 +10 13 22.1  4.25  0.184   A5m                     Tau    44.89   -52.42   21.68
 21421  04 37 43.92 +16 34 11.6  0.87  1.538   K5III        alpha      Tau    62.78  -189.36   50.09
 21444  04 37 53.73 -03 17 25.6  3.93 -0.210   B2III SB     nu         Eri     1.73    -4.54    5.56
 21476  04 38 52.89 +41 19 34.3  4.25  1.171   G8II comp               Per    -5.42   -19.19    5.08
 21589  04 39 55.33 +12 34 16.9  4.27  0.122   A6V                     Tau   101.73   -14.90   21.79
 21594  04 39 37.48 -14 14 41.3  3.86  1.082   K1III                   Eri   -77.86  -178.06   29.84
 21763  04 41 49.30 -19 36 47.5  4.32  1.599 P M3/M4III     DM         Eri    28.21   -97.09    9.03
 21770  04 41 34.72 -41 48 18.7  4.44  0.342   F2V          alpha      Cae  -141.18   -74.95   49.67
 21881  04 44 08.42 +23 00 51.9  4.27 -0.112   B3V          tau        Tau    -2.84   -20.33    8.14
 22109  04 47 04.80 -03 11 57.7  4.01 -0.148   B5IV         mu         Eri    17.27   -13.51    6.13
 22449  04 51 33.18 +07 00 48.9  3.19  0.484   F6V          pi^3       Ori   463.44    11.62  124.60
 22509  04 52 19.90 +08 57 05.6  4.35  0.010   A1Vn         pi^2       Ori    -0.87   -31.57   16.84
 22549  04 52 53.19 +05 39 22.8  3.68 -0.157 P B2III SB     pi^4       Ori    -3.62     1.03    2.59
 22701  04 54 26.67 -05 24 08.8  4.36  0.257   A9IV         omega      Eri   -18.01    25.03   14.39
 22783  04 57 12.29 +66 23 28.8  4.26 -0.008   O9.5Ia SB:   alpha      Cam     0.49     7.31    0.47
 22797  04 55 53.70 +02 29 22.9  3.71 -0.179   B2III SB     pi^5       Ori     1.43     0.23    2.43
 22957  04 58 08.73 +13 33 41.3  4.06  1.158   K2III        o^2        Ori   -77.77   -45.97   19.26
 23015  04 59 03.02 +33 12 46.0  2.69  1.490   K3IIvar      iota       Aur     3.63   -18.54    6.37
 23040  04 59 49.37 +53 47 55.0  4.43 -0.017   A1V                     Cam   -24.17     7.53    8.68
 23123  05 00 11.00 +01 45 35.3  4.47  1.369   K2IIvar      pi^6       Ori    -1.59    -7.93    3.42
 23416  05 04 14.18 +43 51 58.9  3.03  0.537 D F0Ia         epsilon    Aur     0.18    -2.31    1.60
 23453  05 04 41.18 +41 07 06.2  3.69  1.154 P K4II comp    zeta       Aur     8.88   -21.43    4.14
 23522  05 06 14.06 +60 29 02.1  4.03  0.921   G0Ib         beta       Cam    -6.11   -14.78    3.27
 23685  05 06 47.75 -22 19 51.0  3.19  1.460   K4III        epsilon    Lep    19.27   -72.35   14.39
 23767  05 08 43.80 +41 16 25.0  3.18 -0.148   B3V          eta        Aur    30.60   -68.41   14.87
 23875  05 09 24.04 -05 02 53.3  2.78  0.161   A3IIIvar     beta       Eri   -83.39   -75.44   36.71
 23972  05 10 39.34 -08 42 57.9  4.25 -0.187   B2IVn        lambda     Eri     0.00    -2.01    1.86
 24244  05 13 46.17 -11 50 01.7  4.45 -0.099   B8V          iota       Lep    24.95   -31.22   13.53
 24305  05 14 20.90 -16 10 13.4  3.29 -0.110   B9IV: HgMn   mu         Lep    45.66   -16.13   17.69
 24327  05 14 41.25 -12 54 22.7  4.36 -0.094   B7V          kappa      Lep   -12.22    -1.32    5.83
 24331  05 14 56.43 +02 53 46.2  4.46  1.166   K3III        rho        Ori     3.05     4.94    9.49
