 2462915.5  74.43   0.1   6.9 18.57 17.07 0.997   0.1  0.06  4.440545  2.420537 -0.517178  2.300946 -0.533670  0.985753  4.513643 -7.600906  6.244596
 2462916.5  74.57   0.1   6.9 18.54 17.04 0.997   0.1  0.06  4.441191  4.003264 -0.517360  3.883531 -0.533767  0.984911  4.514373 -7.586257  6.244531
 2462917.5  74.71   0.1   6.9 18.50 17.01 0.997   0.1  0.06  4.441837  5.585954 -0.517548  5.466114 -0.533864  0.983785  4.515111 -7.571636  6.244463
 2462918.5  74.84   0.1   6.9 18.47 16.98 0.997   0.1  0.06  4.442483  0.885424 -0.517740  0.765512 -0.533960  0.982380  4.515855 -7.557048  6.244390
 2462919.5  74.98   0.1   6.9 18.43 16.95 0.997   0.1  0.05  4.443129  2.468045 -0.517938  2.348095 -0.534057  0.980699  4.516607 -7.542497  6.244313
 2462920.5  75.12   0.1   6.9 18.40 16.92 0.997   0.1  0.05  4.443775  4.050632 -0.518141  3.930678 -0.534153  0.978746  4.517367 -7.527987  6.244233
 2462921.5  75.26   0.1   6.9 18.37 16.89 0.997   0.1  0.05  4.444421  5.633185 -0.518349  5.513262 -0.534249  0.976525  4.518135 -7.513522  6.244148
 2462922.5  75.40   0.1   6.9 18.33 16.85 0.997   0.1  0.05  4.445067  0.932521 -0.518561  0.812661 -0.534344  0.974039  4.518912 -7.499108  6.244060
 2462923.5  75.53   0.1   6.9 18.30 16.82 0.997   0.1  0.05  4.445713  2.515010 -0.518778  2.395248 -0.534440  0.971294  4.519697 -7.484747  6.243969
 2462924.5  75.67   0.1   6.9 18.27 16.79 0.997   0.1  0.05  4.446359  4.097467 -0.519000  3.977836 -0.534535  0.968293  4.520491 -7.470444  6.243873
 2462925.5  75.81   0.1   6.9 18.23 16.76 0.997   0.1  0.05  4.447005  5.679894 -0.519226  5.560426 -0.534630  0.965041  4.521295 -7.456202  6.243774
 2462926.5  75.95   0.1   6.9 18.20 16.73 0.997   0.1  0.05  4.447652  0.979106 -0.519457  0.859834 -0.534725  0.961541  4.522108 -7.442025  6.243672
 2462927.5  76.08   0.1   6.9 18.17 16.70 0.997   0.1  0.05  4.448298  2.561473 -0.519692  2.442431 -0.534819  0.957798  4.522930 -7.427916  6.243565
 2462928.5  76.22   0.1   6.9 18.13 16.67 0.997   0.1  0.05  4.448944  4.143812 -0.519931  4.025030 -0.534914  0.953816  4.523763 -7.413879  6.243456
 2462929.5  76.36   0.1   6.9 18.10 16.65 0.997   0.1  0.05  4.449590  5.726123 -0.520174  5.607633 -0.535008  0.949599  4.524605 -7.399917  6.243342
 2462930.5  76.49   0.1   6.9 18.07 16.62 0.997   0.1  0.05  4.450237  1.025221 -0.520421  0.907055 -0.535102  0.945151  4.525458 -7.386032  6.243225
 2462931.5  76.63   0.1   6.9 18.04 16.59 0.997   0.1  0.05  4.450883  2.607477 -0.520672  2.489667 -0.535195  0.940475  4.526322 -7.372228  6.243105
 2462932.5  76.76   0.1   6.9 18.01 16.56 0.997   0.1  0.05  4.451529  4.189707 -0.520927  4.072284 -0.535289  0.935577  4.527196 -7.358508  6.242980
 2462933.5  76.90   0.1   6.9 17.97 16.53 0.997   0.1  0.05  4.452175  5.771912 -0.521186  5.654905 -0.535382  0.930460  4.528082 -7.344874  6.242853
 2462934.5  77.03   0.1   6.9 17.94 16.50 0.997   0.1  0.05  4.452822  1.070906 -0.521448  0.954347 -0.535475  0.925128  4.528978 -7.331329  6.242722
 2462935.5  77.16   0.1   6.9 17.91 16.47 0.997   0.1  0.05  4.453468  2.653061 -0.521713  2.536979 -0.535568  0.919584  4.529887 -7.317875  6.242588
