   2456599.988195       14 34 35.1616 35.7074  14 34 35.1616 35.7074  +0.5458
   2456599.988889       14 35 35.3258 35.8717  14 35 35.3258 35.8717  +0.5458
   2456599.989584       14 36 35.4901 36.0359  14 36 35.4901 36.0359  +0.5458
   2456599.990278       14 37 35.6544 36.2002  14 37 35.6544 36.2002  +0.5458
   2456599.990972       14 38 35.8187 36.3645  14 38 35.8187 36.3645  +0.5458
   2456599.991667       14 39 35.9830 36.5288  14 39 35.9830 36.5288  +0.5458
   2456599.992361       14 40 36.1472 36.6930  14 40 36.1472 36.6930  +0.5458
   2456599.993056       14 41 36.3115 36.8573  14 41 36.3115 36.8573  +0.5458
   2456599.993750       14 42 36.4758 37.0216  14 42 36.4758 37.0216  +0.5458
   2456599.994445       14 43 36.6400 37.1859  14 43 36.6400 37.1859  +0.5458
   2456599.995139       14 44 36.8043 37.3501  14 44 36.8043 37.3501  +0.5458
   2456599.995834       14 45 36.9686 37.5144  14 45 36.9686 37.5144  +0.5458
   2456599.996528       14 46 37.1329 37.6787  14 46 37.1329 37.6787  +0.5458
   2456599.997222       14 47 37.2971 37.8429  14 47 37.2971 37.8429  +0.5458
   2456599.997917       14 48 37.4614 38.0072  14 48 37.4614 38.0072  +0.5458
   2456599.998611       14 49 37.6257 38.1715  14 49 37.6257 38.1715  +0.5458
   2456599.999306       14 50 37.7900 38.3358  14 50 37.7900 38.3358  +0.5458
   2456600.000000       14 51 37.9543 38.5001  14 51 37.9543 38.5001  +0.5458
   2456600.000695       14 52 38.1185 38.6643  14 52 38.1185 38.6643  +0.5458
   2456600.001389       14 53 38.2828 38.8286  14 53 38.2828 38.8286  +0.5458
   2456600.002084       14 54 38.4471 38.9929  14 54 38.4471 38.9929  +0.5458
   2456600.002778       14 55 38.6113 39.1571  14 55 38.6113 39.1571  +0.5458
   2456600.003472       14 56 38.7756 39.3214  14 56 38.7756 39.3214  +0.5458
   2456600.004167       14 57 38.9399 39.4857  14 57 38.9399 39.4857  +0.5458
   2456600.004861       14 58 39.1042 39.6500  14 58 39.1042 39.6500  +0.5458
   2456600.005556       14 59 39.2684 39.8142  14 59 39.2684 39.8142  +0.5458
   2456600.006250       15 00 39.4327 39.9785  15 00 39.4327 39.9785  +0.5458
   2456600.006945       15 01 39.5970 40.1428  15 01 39.5970 40.1428  +0.5458
   2456600.007639       15 02 39.7613 40.3071  15 02 39.7613 40.3071  +0.5458
   2456600.008334       15 03 39.9255 40.4714  15 03 39.9255 40.4714  +0.5458
   2456600.009028       15 04 40.0898 40.6356  15 04 40.0898 40.6356  +0.5458
   2456600.009722       15 05 40.2541 40.7999  15 05 40.2541 40.7999  +0.5458
   2456600.010417       15 06 40.4184 40.9642  15 06 40.4184 40.9642  +0.5458
   2456600.011111       15 07 40.5826 41.1284  15 07 40.5826 41.1284  +0.5458
   2456600.011806       15 08 40.7469 41.2927  15 08 40.7469 41.2927  +0.5458
   2456600.012500       15 09 40.9112 41.4570  15 09 40.9112 41.4570  +0.5458
   2456600.013195       15 10 41.0754 41.6212  15 10 41.0754 41.6212  +0.5458
   2456600.013889       15 11 41.2397 41.7855  15 11 41.2397 41.7855  +0.5458
   2456600.014584       15 12 41.4040 41.9498  15 12 41.4040 41.9498  +0.5458
   2456600.015278       15 13 41.5683 42.1141  15 13 41.5683 42.1141  +0.5458
   2456600.015972       15 14 41.7326 42.2784  15 14 41.7326 42.2784  +0.5458
   2456600.016667       15 15 41.8968 42.4426  15 15 41.8968 42.4426  +0.5458
   2456600.017361       15 16 42.0611 42.6069  15 16 42.0611 42.6069  +0.5458
   2456600.018056       15 17 42.2254 42.7712  15 17 42.2254 42.7712  +0.5458
   2456600.018750       15 18 42.3897 42.9355  15 18 42.3897 42.9355  +0.5458
   2456600.019445       15 19 42.5539 43.0997  15 19 42.5539 43.0997  +0.5458
   2456600.020139       15 20 42.7182 43.2640  15 20 42.7182 43.2640  +0.5458
   2456600.020834       15 21 42.8825 43.4283  15 21 42.8825 43.4283  +0.5458
   2456600.021528       15 22 43.0467 43.5925  15 22 43.0467 43.5925  +0.5458
   2456600.022222       15 23 43.2110 43.7568  15 23 43.2110 43.7568  +0.5458
   2456600.022917       15 24 43.3753 43.9211  15 24 43.3753 43.9211  +0.5458
   2456600.023611       15 25 43.5396 44.0854  15 25 43.5396 44.0854  +0.5458
   2456600.024306       15 26 43.7039 44.2497  15 26 43.7039 44.2497  +0.5458
   2456600.025000       15 27 43.8681 44.4139  15 27 43.8681 44.4139  +0.5458
   2456600.025695       15 28 44.0324 44.5782  15 28 44.0324 44.5782  +0.5458
   2456600.026389       15 29 44.1967 44.7425  15 29 44.1967 44.7425  +0.5458
   2456600.027084       15 30 44.3609 44.9067  15 30 44.3609 44.9067  +0.5458
   2456600.027778       15 31 44.5252 45.0710  15 31 44.5252 45.0710  +0.5458
   2456600.028472       15 32 44.6895 45.2353  15 32 44.6895 45.2353  +0.5458
   2456600.029167       15 33 44.8538 45.3995  15 33 44.8538 45.3995  +0.5458
   2456600.029861       15 34 45.0180 45.5638  15 34 45.0180 45.5638  +0.5458
